--- Startup times for process: Primary (or UI client) ---

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
353.217  000.008  000.008: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
353.264  000.006  000.006: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
353.308  000.006  000.006: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
353.347  000.008  000.008: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
353.389  000.006  000.006: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
353.427  000.005  000.005: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
353.605  000.010  000.010: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
353.656  000.005  000.005: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
353.695  000.007  000.007: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
359.985  000.032  000.032: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
360.052  000.041  000.041: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
371.027  000.055  000.055: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
371.057  000.012  000.012: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
373.322  000.017  000.017: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
373.367  000.006  000.006: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
373.424  000.007  000.007: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
373.461  000.005  000.005: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
